| n | Iterative C | Recursive C | Dynamic Programming  C | Iterative P | Recursive P | Dynamic Programming  P |
| 243  | 0.00240  |    -     | 0.00221  |0.04747  |    -     | 0.04761  |
| 244  | 0.00232  |    -     | 0.00217  |0.04490  |    -     | 0.04760  |
| 245  | 0.00234  |    -     | 0.00218  |0.04739  |    -     | 0.04751  |
| 246  | 0.00224  |    -     | 0.00205  |0.04097  |    -     | 0.04763  |
| 247  | 0.00219  |    -     | 0.00208  |0.04735  |    -     | 0.04747  |
| 248  | 0.00222  |    -     | 0.00203  |0.04725  |    -     | 0.04742  |
| 249  | 0.00222  |    -     | 0.00204  |0.04244  |    -     | 0.04760  |
| 250  | 0.00225  |    -     | 0.00208  |0.04723  |    -     | 0.04744  |
| 251  | 0.00223  |    -     | 0.00208  |0.04726  |    -     | 0.04744  |
| 252  | 0.00222  |    -     | 0.00207  |0.04728  |    -     | 0.04747  |
| 253  | 0.00226  |    -     | 0.00209  |0.04723  |    -     | 0.04745  |
| 254  | 0.00223  |    -     | 0.00208  |0.04230  |    -     | 0.04744  |
| 255  | 0.00225  |    -     | 0.00209  |0.04320  |    -     | 0.04461  |
| 256  | 0.00225  |    -     | 0.00206  |0.04729  |    -     | 0.04748  |
| 257  | 0.00230  |    -     | 0.00207  |0.04734  |    -     | 0.04756  |
| 258  | 0.00226  |    -     | 0.00206  |0.04151  |    -     | 0.04632  |
| 259  | 0.00234  |    -     | 0.00223  |0.04061  |    -     | 0.04761  |
| 260  | 0.00238  |    -     | 0.00215  |0.04745  |    -     | 0.04754  |
| 261  | 0.00236  |    -     | 0.00218  |0.04744  |    -     | 0.04758  |
| 262  | 0.00245  |    -     | 0.00222  |0.04747  |    -     | 0.04760  |
| 263  | 0.00234  |    -     | 0.00218  |0.04748  |    -     | 0.04284  |
| 264  | 0.00229  |    -     | 0.00211  |0.04744  |    -     | 0.04766  |
| 265  | 0.00245  |    -     | 0.00219  |0.04555  |    -     | 0.04762  |
| 266  | 0.00225  |    -     | 0.00221  |0.04676  |    -     | 0.04773  |
| 267  | 0.00234  |    -     | 0.00225  |0.04154  |    -     | 0.04758  |
| 268  | 0.00232  |    -     | 0.00221  |0.04735  |    -     | 0.04749  |
| 269  | 0.00236  |    -     | 0.00217  |0.04744  |    -     | 0.04025  |
| 270  | 0.00235  |    -     | 0.00219  |0.04739  |    -     | 0.04767  |
| 271  | 0.00233  |    -     | 0.00213  |0.04562  |    -     | 0.04752  |
| 272  | 0.00237  |    -     | 0.00218  |0.04746  |    -     | 0.04758  |
| 273  | 0.00228  |    -     | 0.00218  |0.04745  |    -     | 0.04753  |
| 274  | 0.00237  |    -     | 0.00216  |0.04747  |    -     | 0.04243  |
| 275  | 0.00231  |    -     | 0.00214  |0.04740  |    -     | 0.04760  |
| 276  | 0.00232  |    -     | 0.00217  |0.04745  |    -     | 0.04776  |
| 277  | 0.00238  |    -     | 0.00214  |0.04744  |    -     | 0.04758  |
| 278  | 0.00235  |    -     | 0.00215  |0.04739  |    -     | 0.04762  |
| 279  | 0.00236  |    -     | 0.00216  |0.04739  |    -     | 0.04079  |
| 280  | 0.00233  |    -     | 0.00215  |0.04746  |    -     | 0.04764  |
| 281  | 0.00237  |    -     | 0.00224  |0.04737  |    -     | 0.04368  |
| 282  | 0.00241  |    -     | 0.00220  |0.04746  |    -     | 0.04759  |
| 283  | 0.00235  |    -     | 0.00215  |0.04745  |    -     | 0.04768  |
| 284  | 0.00238  |    -     | 0.00219  |0.04745  |    -     | 0.04763  |
| 285  | 0.00231  |    -     | 0.00216  |0.04629  |    -     | 0.04765  |
| 286  | 0.00241  |    -     | 0.00219  |0.04544  |    -     | 0.04760  |
| 287  | 0.00239  |    -     | 0.00221  |0.04739  |    -     | 0.04755  |
| 288  | 0.00235  |    -     | 0.00222  |0.04734  |    -     | 0.04442  |
| 289  | 0.00232  |    -     | 0.00217  |0.04740  |    -     | 0.04762  |
| 290  | 0.00232  |    -     | 0.00216  |0.04701  |    -     | 0.04757  |
| 291  | 0.00237  |    -     | 0.00215  |0.04744  |    -     | 0.04536  |
| 292  | 0.00238  |    -     | 0.00224  |0.04735  |    -     | 0.04748  |
| 293  | 0.00230  |    -     | 0.00220  |0.04742  |    -     | 0.04750  |
| 294  | 0.00235  |    -     | 0.00219  |0.04747  |    -     | 0.04762  |
| 295  | 0.00232  |    -     | 0.00216  |0.04741  |    -     | 0.04762  |
| 296  | 0.00240  |    -     | 0.00221  |0.04740  |    -     | 0.04759  |
| 297  | 0.00238  |    -     | 0.00219  |0.04745  |    -     | 0.04751  |
| 298  | 0.00218  |    -     | 0.00207  |0.04729  |    -     | 0.04745  |
| 299  | 0.00236  |    -     | 0.00223  |0.04746  |    -     | 0.04749  |
| 300  | 0.00225  |    -     | 0.00213  |0.04761  |    -     | 0.04305  |
| 301  | 0.00238  |    -     | 0.00218  |0.04737  |    -     | 0.04745  |
| 302  | 0.00224  |    -     | 0.00208  |0.04735  |    -     | 0.04765  |
| 303  | 0.00236  |    -     | 0.00216  |0.04734  |    -     | 0.04757  |
| 304  | 0.00239  |    -     | 0.00218  |0.04741  |    -     | 0.04753  |
| 305  | 0.00236  |    -     | 0.00219  |0.04733  |    -     | 0.04775  |
| 306  | 0.00232  |    -     | 0.00217  |0.04740  |    -     | 0.04442  |
| 307  | 0.00230  |    -     | 0.00227  |0.04742  |    -     | 0.04750  |
| 308  | 0.00238  |    -     | 0.00227  |0.04744  |    -     | 0.04755  |
| 309  | 0.00238  |    -     | 0.00219  |0.04745  |    -     | 0.04764  |
| 310  | 0.00246  |    -     | 0.00222  |0.04237  |    -     | 0.04769  |
| 311  | 0.00239  |    -     | 0.00221  |0.04747  |    -     | 0.03967  |
| 312  | 0.00236  |    -     | 0.00220  |0.04073  |    -     | 0.04608  |
| 313  | 0.00237  |    -     | 0.00213  |0.04752  |    -     | 0.04761  |
| 314  | 0.00237  |    -     | 0.00226  |0.04743  |    -     | 0.04185  |
| 315  | 0.00225  |    -     | 0.00211  |0.04737  |    -     | 0.04069  |
| 316  | 0.00216  |    -     | 0.00236  |0.04739  |    -     | 0.04426  |
| 317  | 0.00242  |    -     | 0.00220  |0.04751  |    -     | 0.04765  |
| 318  | 0.00237  |    -     | 0.00214  |0.04752  |    -     | 0.04763  |
| 319  | 0.00251  |    -     | 0.00217  |0.04751  |    -     | 0.04769  |
| 320  | 0.00232  |    -     | 0.00219  |0.04750  |    -     | 0.04763  |
| 321  | 0.00240  |    -     | 0.00220  |0.04681  |    -     | 0.04755  |
| 322  | 0.00236  |    -     | 0.00225  |0.04238  |    -     | 0.04707  |
| 323  | 0.00237  |    -     | 0.00238  |0.04111  |    -     | 0.04773  |
| 324  | 0.00243  |    -     | 0.00229  |0.04753  |    -     | 0.04765  |
| 325  | 0.00240  |    -     | 0.00215  |0.04153  |    -     | 0.04385  |
| 326  | 0.00237  |    -     | 0.00221  |0.04755  |    -     | 0.04767  |
| 327  | 0.00241  |    -     | 0.00224  |0.04745  |    -     | 0.04774  |
| 328  | 0.00243  |    -     | 0.00226  |0.04752  |    -     | 0.04758  |
| 329  | 0.00236  |    -     | 0.00217  |0.04741  |    -     | 0.04748  |
| 330  | 0.00233  |    -     | 0.00228  |0.04750  |    -     | 0.04766  |
